1960-1969 MONTHLY VOLCANIC FORCING IN 45-DEGREE-LAT BANDS FROM N TO S
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0   36  152
   95  148  202  255  308  361  412  425  425  425  413  415
  125  267  408  550  692  834  976 1107 1135 1135 1145 1130
    0    0    0    0    0    0    0    0    0    0   36  193
  208  214  212  189  167  147  130  115  101   89  162  274
  402  376  350  320  293  268  244  224  204  187  195  216
 1081 1039 1003  973  948  928  892  845  800  752  692  636
  319  444  570  695  820  946 1003 1003 1003  976  898  826
  354  369  362  332  293  258  228  201  177  156  138  122
  229  223  212  194  175  158  143  128  116  105   94   85
  586  539  495  456  419  386  355  327  300  276  254  234
  760  699  643  592  544  501  461  424  390  359  330  304
  107   95   83   74   65   57   51   45   39   35   31   27
   77   70   63   57   52   47   42   38   35   32   29   26
  215  198  182  167  154  142  131  120  110  101   93   86
  279  257  236  218  200  184  169  156  144  132  121  112
   23   21   18   14   12   11   10    8    7    7    5    5
   23   21   19   17   15   14   13   11   10   10    1    1
   79   72   67   61   56   52   47   44   40   37   34   12
  103   94   87   80   74   68   62   57   52   48   44   41
    4    4    3    0    0    0    0    0    0    0    0    0
    1    1    1    0    0    0    0    0    0    0    0    0
   11   10    9    8    7    7    6    6    5    1    0    0
   38   35   32   29   27   25   23   21   19    5    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0

   -----     -----     -----     -----     -----
NOTE: data in (12 months) by (4 lat-zones) by (10 years)
      to get actual values of optical depth use a factor of 1.e-4
