1990-1999 MONTHLY VOLCANIC FORCING IN 45-DEGREE-LAT BANDS FROM N TO S
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0   36  231  412  594  775  957 1138
    0    0    0    0    0   36  248  455  662  869 1076 1284
    0    0    0    0    0   36  246  450  654  858 1063 1267
    0    0    0    0    0   36  224  396  567  738  911 1082
 1320 1448 1452 1452 1438 1336 1229 1131 1040  957  881  810
 1491 1647 1657 1657 1642 1525 1403 1291 1187 1092 1005  925
 1471 1625 1633 1633 1619 1503 1383 1273 1171 1077  991  912
 1254 1371 1373 1373 1360 1263 1162 1069  984  905  833  766
  745  686  631  581  534  491  452  416  383  352  324  298
  851  783  720  663  609  561  516  475  436  401  369  340
  839  772  710  653  601  553  509  468  430  396  364  335
  705  648  596  549  505  465  427  393  362  333  306  282
  274  252  232  214  196  181  166  153  141  129  119  110
  312  287  265  243  224  206  189  174  160  147  136  125
  308  283  261  240  221  203  187  172  158  145  134  123
  259  238  219  202  185  171  157  145  133  122  112  104
  101   92   85   78   72   66   61   56   51   47   44   40
  115  105   97   89   82   76   69   64   58   54   50   45
  113  104   96   88   81   75   68   63   58   53   49   45
   95   87   81   74   68   63   57   53   49   45   41   38
   37   34   31   28   18    0    0    0    0    0    0    0
   42   38   36   33   20    0    0    0    0    0    0    0
   41   38   35   32   20    0    0    0    0    0    0    0
   35   32   30   27   17    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0

   -----     -----     -----     -----     -----
NOTE: data in (12 months) by (4 lat-zones) by (10 years)
      to get actual values of optical depth use a factor of 1.e-4
