1980-1989 MONTHLY VOLCANIC FORCING IN 45-DEGREE-LAT BANDS FROM N TO S
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0   92  278  446  615  783  951 1120 1288 1346
    0    0    0   97  325  542  757  973 1189 1405 1621 1727
    0    0    0   82  192  275  357  440  521  595  654  660
    0    0    0   77  148  185  224  261  297  304  304  304
 1346 1346 1310 1205 1108 1020  938  863  794  731  672  619
 1727 1727 1680 1546 1422 1308 1204 1107 1019  937  862  793
  655  643  596  549  505  464  427  393  362  332  306  281
  287  264  243  224  206  189  174  160  147  135  124  115
  569  523  482  443  408  375  345  318  292  268  247  227
  730  671  618  568  523  481  442  407  374  344  317  292
  259  238  219  202  185  171  157  144  133  122  112  103
  106   97   89   82   76   70   64   59   54   50   46   42
  209  192  177  163  150  138  127  117  107   99   91   83
  268  247  227  209  192  177  163  150  137  126  116  107
   95   87   80   74   68   62   57   53   48   45   41   38
   39   36   33   30   28   25   23   21   20   18   16   15
   77   71   65   60   55   50   46   43   39   36   33   31
   98   90   83   76   70   65   59   55   50   46   42   39
   35   32   29   27   24   23   21   19   17   16   15   14
   14   13   11   11   10    9    8    8    7    7    5    5
   28   26    8    0    0    0    0    0    0    0    0    0
   36   33   10    0    0    0    0    0    0    0    0    0
   11    7    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0

   -----     -----     -----     -----     -----
NOTE: data in (12 months) by (4 lat-zones) by (10 years)
      to get actual values of optical depth use a factor of 1.e-4
