1900-1909 MONTHLY VOLCANIC FORCING IN 45-DEGREE-LAT BANDS FROM N TO S
   33   28   26   23   20   17   15   13   12   10    9    8
    9    8    7    6    5    5    4    4    3    3    2    2
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    7    6    5    5    4    0    0    0    0    0    0    0
    2    1    1    1    1    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0   36  196  327
    0    0    0    0    0    0    0    0    0   36  221  388
    0    0    0    0    0    0    0    0    0   36  152  215
    0    0    0    0    0    0    0    0    0   36  128  156
  457  588  718  848  979 1043 1043 1043 1014  933  859  790
  555  723  890 1057 1224 1335 1337 1337 1320 1223 1125 1035
  279  343  401  456  503  506  501  492  457  420  386  355
  184  213  224  224  224  218  200  185  170  156  144  132
  727  668  615  566  520  479  441  405  373  343  316  291
  952  876  806  742  682  628  577  531  489  450  414  381
  327  301  277  254  234  215  198  182  168  154  142  130
  121  112  103   95   87   80   74   68   62   57   52   48
  267  246  226  208  191  176  162  149  137  126  115  107
  350  322  296  272  251  231  212  195  180  165  152  140
  120  111  101   93   86   79   73   67   61   57   52   48
   45   41   38   35   32   29   27   25   23   21   19   17
   98   90   83   76   70   65   59   54   50   46   43   39
  129  118  109  100   92   85   78   71   66   60   56   51
   44   40   37   34   31   29   26   24   22   20   19   17
   16   15   14   12   11   11   10    9    8    8    7    6
   36   33   30  217  450  684  808  806  761  666  588  518
   47   43   40   92  158  224  259  256  235  195  172  151
   16   14   13   12   11   10    8    5    0    0    0    0
    5    5    5    5    4    1    0    0    0    0    0    0
  458  404  356  314  277  245  216  191  168  148  131  115
  134  118  104   92   81   71   63   55   49   43   38   33
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
  102   90   79   70   62   54   47   42   37   33   28   26
   29   26   23   20   18   16   14   12   11    9    8    7
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0

   -----     -----     -----     -----     -----
NOTE: data in (12 months) by (4 lat-zones) by (10 years)
      to get actual values of optical depth use a factor of 1.e-4
