1810-1819 MONTHLY VOLCANIC FORCING IN 45-DEGREE-LAT BANDS FROM N TO S
 2570 2433 2283 2082 1879 1729 1590 1463 1346 1239 1140 1049
 2773 2641 2504 2349 2186 2013 1815 1670 1537 1414 1301 1197
 2659 2498 2359 2221 2079 1915 1725 1587 1460 1343 1236 1137
 2180 1945 1789 1646 1515 1394 1282 1180 1085  999  919  845
  965  888  817  751  691  636  585  538  495  456  419  386
 1101 1013  932  857  789  726  668  614  565  520  478  440
 1046  962  885  815  749  690  634  583  537  494  454  418
  777  715  658  606  557  513  472  434  399  367  337  311
  354  327  300  276  254  234  214  198  182  167  154  142
  405  372  343  315  290  267  245  226  208  191  176  162
  385  354  326  300  275  253  233  214  197  181  167  153
  286  263  242  223  205  188  173  159  147  135  124  114
  130  120  110  102   93   86   79   73   67   61   56   18
  149  136  126  116  106   98   90   83   76   70   64   20
  141  130  119  110  101   93   85   78   72   66   61   15
  105   97   89   82   75   69   64   58   54   49   45    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0  132  644 1179 1714 2295 2662 2939 3180 3345
    0    0    0  172 1000 1902 2545 3038 3419 3745 4042 4265
    0    0    0  183 1097 2102 2808 3260 3639 3978 4289 4528
    0    0    0  169  974 1862 2611 3054 3414 3732 4024 4244
 3355 3355 3339 3215 3080 2947 2816 2685 2553 2415 2262 2054
 4284 4284 4264 4108 3940 3777 3621 3469 3321 3176 3030 2871
 4550 4550 4529 4364 4187 4017 3854 3697 3547 3402 3261 3123
 4263 4263 4243 4089 3924 3765 3612 3464 3322 3184 3049 2917
 1859 1710 1573 1448 1332 1225 1127 1037  954  878  808  743
 2718 2581 2448 2319 2191 2062 1925 1749 1589 1462 1345 1237
 2990 2857 2726 2592 2452 2288 2128 1936 1761 1621 1491 1372
 2786 2655 2522 2381 2222 1998 1823 1678 1543 1420 1306 1202
  684  629  579  533  490  450  414  381  351  323  297  273
 1138 1047  964  887  816  750  690  635  584  537  495  455
 1262 1161 1068  983  904  832  766  704  648  596  548  505
 1106 1017  936  861  792  729  671  617  568  522  480  442
  252  231  213  196  180  166  152  140  129  119  109  100
  419  385  354  326  300  276  254  233  215  197  181  167
  464  427  393  361  333  306  281  259  238  219  201  185
  407  374  344  317  292  268  247  227  208  192  177  162

   -----     -----     -----     -----     -----
NOTE: data in (12 months) by (4 lat-zones) by (10 years)
      to get actual values of optical depth use a factor of 1.e-4
