1880-1889 MONTHLY VOLCANIC FORCING IN 45-DEGREE-LAT BANDS FROM N TO S
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0   36  259  484  708  932
    0    0    0    0    0    0    0   36  280  537  792 1049
    0    0    0    0    0    0    0   36  266  501  736  971
    0    0    0    0    0    0    0   36  211  363  514  666
 1157 1381 1606 1782 1795 1795 1778 1652 1520 1398 1286 1183
 1305 1561 1817 2077 2099 2099 2079 1897 1735 1596 1468 1351
 1206 1441 1675 1911 1928 1928 1904 1731 1582 1456 1339 1232
  818  970 1122 1214 1214 1214 1181 1087 1000  920  846  779
 1089 1002  922  848  780  718  660  608  559  514  473  435
 1243 1143 1052  968  890  819  754  693  638  587  540  496
 1134 1043  959  883  812  747  688  632  582  535  492  453
  716  659  606  558  513  472  434  400  368  338  311  286
  400  368  339  312  287  264  243  223  205  189  174  160
  457  420  387  356  327  301  277  255  234  215  198  182
  481  541  605  638  612  576  519  467  421  379  342  309
  480  781 1084 1278 1261 1203 1068  948  842  749  665  591
  147  135  124  115  106   97   89   82   76   70   64   59
  168  154  142  131  120  110  101   93   86   79   73   67
  279  252  227  206  186  168  152  137  125  113  102   93
  526  468  416  370  330  293  261  233  208  185  165  147
   54   50   46   42   39   36   22    0    0    0    0    0
   61   57   52   48   44   40   25    0    0    0    0    0
   84   76   69   63   57   52   34   11   10    9    8    7
  131  117  105   93   84   75   52   40   35   31   27   23
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    6    5    4    4    3    1    0    0    0    0    0    0
   21   19   16   14   13    3    0    0    0    0    0    0

   -----     -----     -----     -----     -----
NOTE: data in (12 months) by (4 lat-zones) by (10 years)
      to get actual values of optical depth use a factor of 1.e-4
