1830-1839 MONTHLY VOLCANIC FORCING IN 45-DEGREE-LAT BANDS FROM N TO S
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0  105  399  687  976
    0    0    0    0    0    0    0    0   98  337  565  792
    0    0    0    0    0    0    0    0   58  139  200  261
    0    0    0    0    0    0    0    0    0    0    0    0
 1265 1554 1842 2192 2359 2359 2359 2307 2119 1902 1750 1610
 1020 1247 1474 1720 1834 1834 1834 1788 1644 1498 1378 1268
  322  384  445  488  490  490  485  451  415  381  351  323
    0    0    0    0    0    0    0    0    0    0    0    0
 1481 1363 1254 1154 1061  976  898  827  760  699  644  592
 1167 1073  988  908  836  769  708  651  599  551  507  466
  297  273  251  231  213  196  180  165  152  140  129  118
    0    0    0    0    0    0    0    0    0    0    0    0
  545  501  461  424  390  359  330  304  280  257  236  218
  429  395  363  334  307  283  260  239  220  202  186  171
  109  100   92   85   78   72   66   61   56   51   47   43
    0    0    0    0    0    0    0    0    0    0    0    0
  237  451  673  895 1118 1343 1568 1794 1975 1982 1974 1950
  194  434  692  951 1210 1471 1732 2009 2255 2270 2264 2241
   76  307  545  783 1021 1260 1499 1753 1972 1986 1985 1962
   36  202  341  479  618  757  895 1034 1109 1109 1109 1078
 1810 1666 1533 1410 1297 1194 1098  983  892  820  755  694
 2082 1877 1727 1589 1462 1345 1237 1117 1018  936  861  792
 1821 1637 1506 1385 1275 1173 1076  984  906  833  766  705
  992  913  840  772  711  654  602  554  509  469  431  397
  639  588  541  497  458  421  387  357  328  302  277  255
  729  670  617  568  522  480  442  407  374  344  317  291
  649  597  549  505  465  428  393  362  333  306  282  259
  365  336  309  284  261  240  221  203  187  172  158  146
  235  216  199  183  168  155  143  131  120  111  102   94
  268  246  227  209  192  176  162  149  137  126  116  107
  238  219  202  186  171  157  144  133  122  112  103   95
  134  123  114  105   96   88   81   75   69   63   58   53
   86   79   73   67   62   57   52   48   44   41   38   23
   98   90   83   76   70   65   59   55   50   46   42   26
   87   80   74   68   62   57   53   49   45   41   38   21
   49   45   42   38   35   32   30   27   25   23   21    6

   -----     -----     -----     -----     -----
NOTE: data in (12 months) by (4 lat-zones) by (10 years)
      to get actual values of optical depth use a factor of 1.e-4
